"ACCURACY","F1_SCORE","PRECISION","RECALL","ML_FRAMEWORK","TRANSFER_LEARNING","DEEP_LEARNING","MODEL_TYPE","DEPTH","NUM_PARAMS","AVERAGEPOOLING2D_LAYERS","CONV2D_LAYERS","BATCHNORMALIZATION_LAYERS","DENSE_LAYERS","MAXPOOLING2D_LAYERS","INPUTLAYER_LAYERS","AVERAGE_LAYERS","ADD_LAYERS","GLOBALAVERAGEPOOLING2D_LAYERS","ZEROPADDING2D_LAYERS","DROPOUT_LAYERS","DEPTHWISECONV2D_LAYERS","FLATTEN_LAYERS","CONCATENATE_LAYERS","SIGMOID_ACT","SELU_ACT","RELU_ACT","SOFTMAX_ACT","LOSS","OPTIMIZER","MEMORY_SIZE","TEAM","USERNAME","TIMESTAMP","VERSION"
"0.395817196","0.2841256571","0.2473860668","0.3953848091","keras","null","true","Sequential","27","4775331","null","10","9","1","5","null","null","null","null","null","1","null","1","null","null","null","10","1","str","Adam","19108904","null","xilin0323","2023-03-14 22:27:34.179772","429"
"0.3787761425","0.2660190051","0.2835057739","0.3783377399","keras","null","true","Sequential","12","471635","null","6","2","1","2","null","null","null","null","null","null","null","1","null","null","null","6","1","str","Adam","1889576","null","so2638","2023-03-10 03:30:21.056356","129"
"0.3694810225","0.2920085643","0.6141853316","0.3695120416","keras","null","true","Sequential","20","3919395","null","10","4","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15682728","null","Rochuz","2023-03-14 18:44:00.306757","407"
"0.3648334624","0.2743718978","0.2466187066","0.3644885699","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","mymstella","2023-03-11 19:14:57.466631","176"
"0.3648334624","0.2743718978","0.2466187066","0.3644885699","keras","true","true","Sequential","23","19466819","null","13","null","3","5","1","null","null","null","null","null","null","1","null","null","null","15","1","str","Adam","77871864","null","mymstella","2023-03-11 19:13:38.909252","175"
"0.3470178156","0.2041217832","0.3668086168","0.3472868217","keras","null","true","Sequential","13","471635","null","6","2","1","2","null","null","null","null","null","1","null","1","null","null","null","6","1","str","Adam","1889576","null","so2638","2023-03-14 17:49:22.404229","399"
"0.345468629","0.1946848303","0.7396985545","0.3457094552","keras","true","true","Functional","22","16097391","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","SGD","64393920","null","sairachawla","2023-03-14 15:29:39.420193","369"
"0.343144849","0.2827526252","0.2463261063","0.3434108527","keras","null","true","Sequential","12","471635","null","6","2","1","2","null","null","null","null","null","null","null","1","null","null","null","6","1","str","Adam","1889576","null","so2638","2023-03-14 17:46:31.650093","397"
"0.3377226956","0.3377863555","0.3378881154","0.3377290958","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","emileesmaili","2023-03-06 18:23:24.198606","5"
"0.3377226956","0.3377863555","0.3378881154","0.3377290958","keras","null","true","Sequential","14","1189155","null","8","null","1","4","null","null","null","null","null","null","null","1","null","null","null","8","1","str","Adam","4759312","null","emileesmaili","2023-03-06 18:23:10.749831","4"
"0.3361735089","0.1718570338","0.3616291116","0.3356589147","keras","true","true","Functional","128","23593859","null","53","53","1","1","1","null","16","1","2","null","null","null","null","null","null","49","1","str","SGD","94416728","1","tinaz0407","2023-03-14 10:18:22.193810","365"
"0.3353989156","0.1727828746","0.3778641783","0.3356517204","keras","null","true","Functional","28","45607113","null","10","null","7","3","4","1","null","null","null","null","null","3","null","null","null","14","3","str","Adam","182433256","null","tzak","2023-03-14 18:37:56.531132","404"
"0.3353989156","0.1727828746","0.3778641783","0.3356517204","keras","null","true","Functional","28","45607113","null","10","null","7","3","4","1","null","null","null","null","null","3","null","null","null","14","3","str","Adam","182433256","null","tzak","2023-03-14 19:18:59.257468","414"
"0.3346243222","0.1685039858","0.4447028424","0.3341085271","keras","null","true","Sequential","7","56798275","null","null","null","6","null","null","null","null","null","null","null","null","1","null","null","null","5","1","str","Adam","227194744","null","lah2228","2023-03-15 19:58:16.001163","442"
"0.3346243222","0.1725808348","0.1625098348","0.3348837209","keras","null","true","Sequential","10","904771","null","4","null","1","4","null","null","null","null","null","null","null","1","null","null","null","4","1","str","Adam","3620616","null","xuenricky","2023-03-13 05:35:34.730172","250"
"0.3338497289","0.16686024","0.111283243","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","mymstella","2023-03-10 21:35:50.701585","152"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","10","null","null","1","str","Adam","15249704","null","miles_degrazia","2023-03-14 18:15:53.675979","402"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","true","true","Functional","128","23593859","null","53","53","1","1","1","null","16","1","2","null","null","null","null","null","null","49","1","str","SGD","94416728","null","sairachawla","2023-03-14 03:31:42.858182","317"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","26","3821603","null","10","10","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15294504","null","timnyt","2023-03-07 21:51:24.781090","46"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","16","2139939","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","8562984","null","mcmurrym","2023-03-14 16:33:32.362686","377"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249704","null","xilin0323","2023-03-14 15:59:07.727679","373"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","17","669983","null","5","3","3","3","null","null","null","null","null","2","null","1","null","null","null","7","1","str","Adam","2683704","null","sairachawla","2023-03-14 03:29:30.288287","314"
"0.3338497289","0.16686024","0.111283243","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","so2638","2023-03-07 21:56:49.143891","54"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","67122440","null","mymstella","2023-03-10 21:35:21.500616","151"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","22","8849187","null","14","null","1","6","null","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","35401152","null","so2638","2023-03-07 21:56:00.106189","51"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","26","3821603","null","10","10","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15294504","null","timnyt","2023-03-07 21:59:07.609142","56"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249704","null","xilin0323","2023-03-14 17:10:37.950374","384"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249712","7","lprockop","2023-03-06 23:35:28.267915","25"
"0.3338497289","0.16686024","0.111283243","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","so2638","2023-03-08 04:30:05.094001","95"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","true","true","Functional","128","23593859","null","53","53","1","1","1","null","16","1","2","null","null","null","null","null","null","49","1","str","SGD","94416728","null","ivster","2023-03-13 18:29:44.041240","263"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","10","226595","null","null","null","7","2","null","null","null","null","null","null","null","1","null","null","null","6","1","str","Adam","908264","null","so2638","2023-03-08 04:28:48.416900","94"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Functional","128","23593859","null","53","53","1","1","1","null","16","1","2","null","null","null","null","null","null","49","1","str","SGD","94416728","null","lah2228","2023-03-21 18:29:12.735341","445"
"0.3338497289","0.16686024","0.111283243","0.3333333333","keras","null","true","Sequential","17","669983","null","5","3","3","3","null","null","null","null","null","2","null","1","null","null","null","7","1","str","Adam","2683704","null","sairachawla","2023-03-14 03:31:14.074400","316"
"0.3338497289","0.16686024","0.111283243","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","arushisaranath","2023-03-15 06:21:57.837679","437"
"0.3330751356","0.1667636223","0.1111973106","0.3333333333","keras","null","true","Functional","129","61338499","null","53","53","2","1","1","null","16","null","2","null","null","1","null","null","null","50","1","str","Adam","245395528","null","bonlilicheng","2023-03-13 06:54:00.652476","253"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","25","37859","null","10","9","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","159016","null","sofiazaidman","2023-03-12 17:09:27.779866","212"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","67122440","7","lprockop","2023-03-12 20:56:17.841246","217"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","arushisaranath","2023-03-15 02:56:05.020516","435"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","21","29451183","null","13","null","2","5","null","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","117809088","null","xilin0323","2023-03-14 19:59:27.741701","422"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","67122464","7","lprockop","2023-03-07 03:17:46.528644","32"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","128","23593859","null","53","53","1","1","1","null","16","1","2","null","null","null","null","null","null","49","1","str","SGD","94416744","null","Chen","2023-03-07 01:57:05.382912","31"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249712","6","bobbie8881","2023-03-07 01:14:40.662569","30"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","arushisaranath","2023-03-15 02:39:28.207652","434"
